,ts_code,trade_date,open,high,low,close,pct_chg,vol,hlc3,t_chg,ema_lower,ema,ema_upper,bandwidth,bandwidth_chg,percent,macd,histogram,signal,avgwidthratio30,avgwidthratio20,avgwidthratio10,avgwidthratio5,rsi,cci,volratio5,volratio10,volratio3,pirceratio5,pirceratio10,priceratio3,forcasting1,forcasting5
197,600409.SH,20210811,12.5579,13.233,12.3939,12.6254,0.384,672620.15,12.751,0.538,10.837,11.951,13.065,18.641,-0.211,0.859,0.353,-0.033,0.386,0.697,0.547,0.57,0.742,63.61,86.723,1.124,1.114,1.062,1.074,1.063,1.062,2730.52,77.783
198,600409.SH,20210810,12.4614,12.8761,12.3939,12.5771,-0.5346,524344.3,12.616,0.928,10.749,11.867,12.986,18.851,-1.479,0.835,0.32,-0.074,0.394,0.713,0.557,0.535,0.68,62.235,59.738,0.863,0.847,0.845,1.075,1.048,1.073,2632.14,560.716
199,600409.SH,20210809,12.0563,12.8086,12.0081,12.6447,7.3714,748870.32,12.487,4.88,10.59,11.788,12.987,20.331,-2.773,0.792,0.287,-0.126,0.413,0.779,0.607,0.541,0.659,60.938,32.305,1.281,1.209,1.293,1.073,1.032,1.083,2520.25,414.595
200,600409.SH,20210806,11.2076,11.8924,11.1593,11.7766,4.987,659259.07,11.609,5.077,10.361,11.715,13.068,23.103,-3.5,0.461,0.253,-0.191,0.444,0.9,0.701,0.585,0.676,50.154,-71.259,1.162,1.049,1.179,0.99,0.948,1.003,2522.18,1294.779
201,600409.SH,20210805,11.603,11.6416,11.0822,11.2172,-3.7249,601542.94,11.314,-3.325,10.166,11.726,13.286,26.604,-3.072,0.368,0.296,-0.197,0.492,1.059,0.825,0.653,0.712,45.472,-112.916,1.054,0.926,1.071,0.954,0.914,0.966,2442.13,1933.465
202,600409.SH,20210804,11.4776,11.8055,11.3908,11.6512,1.3421,471374.14,11.616,1.513,10.023,11.769,13.515,29.676,-2.567,0.456,0.376,-0.165,0.541,1.212,0.945,0.715,0.738,49.892,-96.278,0.778,0.697,0.809,0.963,0.935,0.98,2299.38,1551.119
203,600409.SH,20210803,11.9695,11.9695,11.2751,11.4969,-3.7159,584248.8,11.58,-3.948,9.885,11.785,13.685,32.243,-2.198,0.446,0.442,-0.14,0.583,1.357,1.06,0.769,0.756,49.36,-120.794,0.935,0.834,0.986,0.941,0.926,0.966,2286.84,961.083
204,600409.SH,20210802,11.8152,11.9984,11.4487,11.9406,0.7323,580225.68,11.796,1.061,9.774,11.807,13.84,34.441,-4.499,0.497,0.524,-0.094,0.618,1.501,1.176,0.823,0.773,52.493,-98.793,0.889,0.796,0.939,0.942,0.939,0.963,2314.81,512.496
205,600409.SH,20210730,12.1335,12.3167,11.468,11.8538,-2.5373,611148.18,11.88,-2.305,9.509,11.808,14.107,38.94,-4.275,0.516,0.599,-0.043,0.641,1.773,1.396,0.953,0.858,53.714,-84.578,0.902,0.821,0.956,0.931,0.946,0.947,2343.75,525.783
206,600409.SH,20210729,12.4807,12.5386,11.8248,12.1624,0.638,554763.82,12.175,-2.55,9.251,11.8,14.35,43.215,-2.339,0.573,0.677,0.025,0.652,2.068,1.644,1.106,0.961,58.13,-28.897,0.767,0.697,0.807,0.947,0.972,0.953,2379.44,-192.779
207,600409.SH,20210728,12.336,12.635,11.6319,12.0853,-3.0936,623847.81,12.117,-2.032,9.082,11.761,14.44,45.553,-1.3,0.567,0.737,0.091,0.646,2.296,1.855,1.245,1.042,57.499,-16.988,0.834,0.742,0.865,0.943,0.974,0.928,2401.62,-955.504
208,600409.SH,20210727,13.069,13.5224,12.4228,12.4711,-4.6457,682353.06,12.805,-4.575,8.977,11.724,14.47,46.853,-0.14,0.697,0.808,0.185,0.623,2.488,2.056,1.393,1.113,68.895,57.951,0.879,0.781,0.899,1.0,1.046,0.98,2424.77,-826.23
209,600409.SH,20210726,12.8086,13.4452,12.6447,13.0787,0.8925,695138.68,13.056,2.109,8.882,11.61,14.337,46.993,1.144,0.765,0.818,0.241,0.577,2.621,2.236,1.542,1.182,73.818,85.927,0.86,0.788,0.894,1.029,1.089,1.02,2455.64,-1434.976
210,600409.SH,20210723,13.4259,13.5609,12.8279,12.963,-3.3787,748253.06,13.117,-3.448,8.831,11.457,14.084,45.848,1.997,0.816,0.793,0.276,0.516,2.665,2.375,1.673,1.245,75.023,99.844,0.919,0.846,0.931,1.05,1.12,1.036,2554.98,-829.265
211,600409.SH,20210722,12.9437,13.5031,12.8376,13.4163,3.1135,759931.54,13.252,3.651,8.809,11.283,13.756,43.852,3.09,0.898,0.743,0.295,0.447,2.635,2.48,1.787,1.31,77.609,122.12,0.868,0.838,0.91,1.083,1.159,1.065,2604.17,-1280.181
212,600409.SH,20210721,12.5386,13.1559,12.2782,13.0112,5.9699,831562.31,12.815,3.769,8.818,11.075,13.333,40.761,2.671,0.885,0.654,0.281,0.374,2.508,2.515,1.861,1.372,75.037,112.124,0.903,0.846,1.009,1.072,1.144,1.049,2637.93,-684.543
213,600409.SH,20210720,11.9116,12.4132,11.3812,12.2782,0.0,770464.66,12.024,3.078,8.818,10.892,12.967,38.091,1.17,0.773,0.576,0.273,0.303,2.371,2.565,1.955,1.48,69.115,76.755,0.796,0.795,0.845,1.025,1.097,0.99,2642.75,-52.593
214,600409.SH,20210719,12.6832,13.1944,12.1431,12.2782,-1.7744,852074.13,12.539,-3.193,8.784,10.773,12.762,36.92,3.789,0.944,0.549,0.314,0.235,2.313,2.729,2.157,1.707,80.594,128.253,0.891,0.92,0.873,1.105,1.178,1.063,2528.94,458.401
215,600409.SH,20210716,11.9213,12.8183,11.8055,12.5,4.6008,886665.69,12.375,4.854,8.833,10.587,12.341,33.132,4.927,1.01,0.454,0.297,0.157,2.072,2.679,2.215,1.827,79.597,151.491,0.945,1.005,0.872,1.128,1.191,1.088,2455.64,596.576
216,600409.SH,20210715,11.603,12.2299,11.5741,11.9502,1.1426,786404.46,11.918,2.992,8.932,10.399,11.865,28.205,4.445,1.018,0.343,0.26,0.082,1.744,2.453,2.129,1.824,76.493,163.832,0.807,0.934,0.774,1.115,1.169,1.088,2477.82,871.135
