ts_code,name,market,publisher,category,base_date,base_point,list_date
105823.MI,MSCI英国成长,MSCI,MSCI,成长指数,19741231,100.0,
105824.MI,MSCI英国价值,MSCI,MSCI,价值指数,19741231,100.0,
105825.MI,MSCI美国成长,MSCI,MSCI,成长指数,19741231,100.0,
105826.MI,MSCI美国价值,MSCI,MSCI,价值指数,19741231,100.0,
105827.MI,MSCI欧澳远东+加拿大成长,MSCI,MSCI,成长指数,19741231,100.0,
105828.MI,MSCI欧澳远东+加拿大价值,MSCI,MSCI,价值指数,19741231,100.0,
105829.MI,MSCI欧澳远东(除英国)成长,MSCI,MSCI,成长指数,19741231,100.0,
105830.MI,MSCI欧澳远东(除英国)价值,MSCI,MSCI,价值指数,19741231,100.0,
105831.MI,MSCI欧澳远东成长自由,MSCI,MSCI,规模指数,19871231,100.0,
105832.MI,MSCI欧澳远东价值自由,MSCI,MSCI,规模指数,19871231,100.0,
105833.MI,MSCI欧澳远东成长,MSCI,MSCI,成长指数,19741231,100.0,
105834.MI,MSCI欧澳远东价值,MSCI,MSCI,价值指数,19741231,100.0,
105835.MI,MSCI欧澳远东(除日本)成长,MSCI,MSCI,成长指数,19741231,100.0,
105836.MI,MSCI欧澳远东(除日本)价值,MSCI,MSCI,价值指数,19741231,100.0,
105837.MI,MSCI欧洲(除英国)成长,MSCI,MSCI,成长指数,19741231,100.0,
105838.MI,MSCI欧洲(除英国)价值,MSCI,MSCI,价值指数,19741231,100.0,
105843.MI,MSCI欧洲成长,MSCI,MSCI,成长指数,19741231,100.0,
105844.MI,MSCI欧洲价值,MSCI,MSCI,价值指数,19741231,100.0,
105845.MI,MSCI远东成长自由,MSCI,MSCI,规模指数,19871231,100.0,
105846.MI,MSCI远东价值自由,MSCI,MSCI,规模指数,19871231,100.0,
105847.MI,MSCI远东成长,MSCI,MSCI,成长指数,19741231,100.0,
105848.MI,MSCI远东价值,MSCI,MSCI,价值指数,19741231,100.0,
105849.MI,MSCIKOKUSAI成长,MSCI,MSCI,成长指数,19741231,100.0,
105850.MI,MSCIKOKUSAI价值,MSCI,MSCI,价值指数,19741231,100.0,
105853.MI,MSCI北欧国家成长,MSCI,MSCI,成长指数,19741231,100.0,
105854.MI,MSCI北欧价值,MSCI,MSCI,价值指数,19741231,100.0,
105855.MI,MSCI北美成长,MSCI,MSCI,成长指数,19741231,100.0,
105856.MI,MSCI北美价值,MSCI,MSCI,价值指数,19741231,100.0,
105857.MI,MSCI太平洋地区(除日本)成长,MSCI,MSCI,成长指数,19741231,100.0,
105858.MI,MSCI太平洋地区(除日本)价值,MSCI,MSCI,价值指数,19741231,100.0,
105859.MI,MSCI太平洋地区(除日本)成长自由,MSCI,MSCI,规模指数,19871231,100.0,
